prophet_id,method_id
c7cbedd85cd04b37,8
c7cbedd85cd04b37,10
c7cbedd85cd04b37,9
eace65dc565b4381,3
fa81e35d63254829,5
6672833875244c38,5
6672833875244c38,9
d334fb0525854ef8,3
e6ea9a9422764680,1
e6ea9a9422764680,3
e6ea9a9422764680,4
da2d13d4d08d4b81,3
9ae2d528fbd54213,9
9ae2d528fbd54213,3
9ae2d528fbd54213,7
8306bff0ea994050,7
8306bff0ea994050,1
8306bff0ea994050,9
fa7a14e6d78e4695,6
fa7a14e6d78e4695,2
c71c1030a8264046,5
c71c1030a8264046,9
ca2071cde74148e0,9
ca2071cde74148e0,6
ca2071cde74148e0,10
5c78b648a14c4ac4,2
1dcf8f0e2e2d4d47,9
e11ad1448a324fc4,3
e11ad1448a324fc4,5
e11ad1448a324fc4,2
c0c2aca13ac6409b,5
e42ccd2d9d0a4f84,4
e42ccd2d9d0a4f84,9
e42ccd2d9d0a4f84,7
1f4bfc753104494a,10
1f4bfc753104494a,3
1f4bfc753104494a,1
a13d6010e8ef4a33,1
7f012ae908d04a33,6
7f012ae908d04a33,5
7f012ae908d04a33,2
63a3840b10a64f88,2
63a3840b10a64f88,1
63a3840b10a64f88,9
4662e171e3b54bbf,5
4662e171e3b54bbf,4
4662e171e3b54bbf,3
44b430c15a2446cd,1
44b430c15a2446cd,6
175e9eef3d5a465f,6
175e9eef3d5a465f,1
e7c4bf1d053248b1,9
e7c4bf1d053248b1,4
a37a230475a641c8,8
a37a230475a641c8,10
a37a230475a641c8,7
c8b7ae9f598f458c,3
c8b7ae9f598f458c,9
8de020e73290418b,7
8de020e73290418b,2
8de020e73290418b,6
43edc2a3ec6842bf,7
43edc2a3ec6842bf,5
4019421e67084c11,4
4019421e67084c11,5
4019421e67084c11,2
96d2b7745dd9499e,3
09c2ea110cf44ed0,9
df60de5ce28b46e6,7
df60de5ce28b46e6,4
df60de5ce28b46e6,6
98fef29166bf4f72,8
c308b3ef04c04627,10
c308b3ef04c04627,3
c308b3ef04c04627,9
f6f3bb2985564a5a,3
f6f3bb2985564a5a,10
f6f3bb2985564a5a,8
56b4d8f0781d44d6,7
56b4d8f0781d44d6,8
39858c41bb304eb3,9
39858c41bb304eb3,6
39858c41bb304eb3,5
fcbdb18d84944c66,8
fcbdb18d84944c66,1
fcbdb18d84944c66,7
0ccec959f2834192,1
0ccec959f2834192,3
7023fc6c95ed4ef1,10
7023fc6c95ed4ef1,3
15a419c98c2047a8,2
15a419c98c2047a8,4
15a419c98c2047a8,9
02e6b44a4fb34123,1
02e6b44a4fb34123,6
03e33a0a7b0649c6,2
03e33a0a7b0649c6,4
03e33a0a7b0649c6,9
c83607b4bf6c4e20,1
b88f584e80254ab5,4
6e3c729959e5497b,6
6e3c729959e5497b,5
6e3c729959e5497b,1
2e6f86b521a54d76,8
2e6f86b521a54d76,1
b21802477a0f40f3,3
b21802477a0f40f3,6
6910738820994233,1
6910738820994233,4
6910738820994233,6
