id,customer_id,booking_id,score,description,created_at,updated_at
e9fdad3ed2c14d82,e5763abccc454f16,b8bc32ed5a2b46ba,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
b2dba91126944348,87b80a3104b64fc1,ecba41137c51464c,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
2840605688da4b88,bf8379aa77c24147,d16d44a0485a44d2,4,"Great experience, highly recommend this prophet.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
9b20da9edb894732,176d16536b1c412b,89cf998d479d45de,5,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
7fbc83be706c49ed,c401912f7f7342ec,145e3e72836b4417,5,"Wonderful session, helped me understand many things.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
67c270961b1a43ba,4cb9009311014ae7,3eef86869d6f4ff5,5,Professional service and detailed explanations.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
5d210e6104fd450a,9b1dda55d2094abc,7b0b999d09504e42,3,"Great experience, highly recommend this prophet.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
bc1003ace436470c,a8788f77e0164817,12d722820efe4aee,4,Professional service and detailed explanations.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
92e0cb8d40ef4cfe,a8788f77e0164817,46f969ebe6bf4ecf,5,"Wonderful session, helped me understand many things.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
7a88f34f37c84f12,0ca6ec251d4c439f,a4edda42966a4432,5,"Wonderful session, helped me understand many things.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
1e695f7dfb3149e3,26d02fcc90a14314,44ead5bb637948e0,4,Professional service and detailed explanations.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
8e010ff1b33c40a7,26d02fcc90a14314,93e4b17d67fe4606,4,Excellent guidance and spiritual insight.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
5d8cb534acd94506,c065d46649694e34,aea87b4afca04c1a,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
3a33eeec88e448f8,6a1085f52b894e09,6691e8a9ce88494f,3,Professional service and detailed explanations.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
c0b8a1c7031c46d5,babfa8eb72bb4b1d,92d9ab777313461e,5,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
1183632d17ef476f,acf500772eba4502,1b17c628c506436f,3,"Great experience, highly recommend this prophet.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
8957319f88d54754,acf500772eba4502,5acbe82f49854c01,4,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
5b848ac1826a485b,48862b39767f49d8,2687a2c36c2546ec,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
e3bda3ecb9d74190,4d0d2bb6360b4341,2cacba5ea2c34555,4,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
91e32cd1acc749c4,c19c8f6ba72a4165,3ac4e7ada88b403b,5,Excellent guidance and spiritual insight.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
d87b96aeb57445ff,d9e0c147af2f4519,5e2c15bc7ea84bb6,5,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
d7c7600004c04c11,5b662d091e744dbd,02e15032098f4538,3,Professional service and detailed explanations.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
b9fa56c97d8b42f9,fc11a4a79f534480,d7109c1739e44fc3,4,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
a77c55644a85436a,7b731065fffa491a,2ebd86e0887d4fd4,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
f8dd0ba24eb3409d,70e5db7fcbd94ccc,0d3745f3afb64c0d,3,,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
65d47a656073472b,70e5db7fcbd94ccc,5661e716d41d49fe,3,"Great experience, highly recommend this prophet.",2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
1a23505fecd64cd4,d31f25492b024833,dc9f07330d84457b,4,Excellent guidance and spiritual insight.,2025-08-27T03:54:52.187561+00:00,2025-08-27T03:54:52.187561+00:00
