id,prophetId,date,startTime,endTime,createdAt,updatedAt
1,63ab9ec4-51b3-46,2025-02-10T00:00:00.000Z,2025-02-10T09:00:00+00:00,2025-02-10T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
2,1350d4e9-0a09-42,2025-03-07T00:00:00.000Z,2025-03-07T09:00:00+00:00,2025-03-07T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
3,8a5f239f-afc5-4f,2025-04-11T00:00:00.000Z,2025-04-11T09:00:00+00:00,2025-04-11T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
4,33775066-5b47-42,2025-08-02T00:00:00.000Z,2025-08-02T09:00:00+00:00,2025-08-02T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
5,71d784e6-641b-45,2025-01-05T00:00:00.000Z,2025-01-05T09:00:00+00:00,2025-01-05T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
6,1350d4e9-0a09-42,2025-01-21T00:00:00.000Z,2025-01-21T09:00:00+00:00,2025-01-21T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
7,a9f32dca-7d9a-47,2025-05-18T00:00:00.000Z,2025-05-18T09:00:00+00:00,2025-05-18T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
8,fff38902-9fa9-4b,2025-05-07T00:00:00.000Z,2025-05-07T09:00:00+00:00,2025-05-07T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
9,f9e8ef21-c867-48,2025-03-13T00:00:00.000Z,2025-03-13T09:00:00+00:00,2025-03-13T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
10,74cf402d-206b-47,2025-01-10T00:00:00.000Z,2025-01-10T09:00:00+00:00,2025-01-10T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
11,8f06ddef-e56e-48,2025-03-04T00:00:00.000Z,2025-03-04T09:00:00+00:00,2025-03-04T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
12,f274a454-719b-49,2025-08-11T00:00:00.000Z,2025-08-11T09:00:00+00:00,2025-08-11T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
13,e085c66f-67cf-4b,2025-01-22T00:00:00.000Z,2025-01-22T09:00:00+00:00,2025-01-22T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
14,82aa88c0-86cf-47,2025-03-23T00:00:00.000Z,2025-03-23T09:00:00+00:00,2025-03-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
15,47358a47-fa21-44,2025-05-07T00:00:00.000Z,2025-05-07T09:00:00+00:00,2025-05-07T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
16,47358a47-fa21-44,2025-08-14T00:00:00.000Z,2025-08-14T09:00:00+00:00,2025-08-14T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
17,8f06ddef-e56e-48,2025-03-06T00:00:00.000Z,2025-03-06T09:00:00+00:00,2025-03-06T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
18,34cf4095-f3be-4b,2025-01-07T00:00:00.000Z,2025-01-07T09:00:00+00:00,2025-01-07T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
19,40936c7b-f225-45,2025-07-22T00:00:00.000Z,2025-07-22T09:00:00+00:00,2025-07-22T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
20,b769f53c-797a-43,2025-05-13T00:00:00.000Z,2025-05-13T09:00:00+00:00,2025-05-13T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
